Device Time, G(x), G(y), G(z), G(calibrated),Speed (OBD)(km/h),Engine RPM(rpm),Relative Throttle Position(%)
25-1月-2014 20:16:27.789,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1412.75,1.96078432
25-1月-2014 20:16:27.890,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1412.75,1.96078432
25-1月-2014 20:16:27.988,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1406.5,1.96078432
25-1月-2014 20:16:28.089,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1403,1.96078432
25-1月-2014 20:16:28.189,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1403,3.52941179
25-1月-2014 20:16:28.289,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1365,2.74509811
25-1月-2014 20:16:28.388,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1308.75,2.74509811
25-1月-2014 20:16:28.491,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1258.5,2.74509811
25-1月-2014 20:16:28.591,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1258.5,3.13725495
25-1月-2014 20:16:28.691,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1226.5,3.13725495
25-1月-2014 20:16:28.789,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1196.25,3.13725495
25-1月-2014 20:16:28.889,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1158.5,2.74509811
25-1月-2014 20:16:28.990,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1158.5,2.74509811
25-1月-2014 20:16:29.089,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1125.75,2.74509811
25-1月-2014 20:16:29.189,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1095.75,2.74509811
25-1月-2014 20:16:29.288,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1078.75,2.74509811
25-1月-2014 20:16:29.389,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1078.75,2.74509811
25-1月-2014 20:16:29.489,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1063.25,2.74509811
25-1月-2014 20:16:29.589,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1066.5,2.74509811
25-1月-2014 20:16:29.700,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1066.5,2.74509811
25-1月-2014 20:16:29.789,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1071,2.74509811
25-1月-2014 20:16:29.888,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1073.75,2.74509811
25-1月-2014 20:16:29.989,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1077.5,3.13725495
25-1月-2014 20:16:30.088,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1077.5,3.13725495
25-1月-2014 20:16:30.190,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1069.75,3.13725495
25-1月-2014 20:16:30.289,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1075.5,3.13725495
25-1月-2014 20:16:30.389,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1073,3.13725495
25-1月-2014 20:16:30.488,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1070.75,3.13725495
25-1月-2014 20:16:30.589,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1070.75,3.13725495
25-1月-2014 20:16:30.688,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1070.75,3.13725495
25-1月-2014 20:16:30.789,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1070.75,3.13725495
25-1月-2014 20:16:30.888,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1074,3.13725495
25-1月-2014 20:16:30.987,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1074,3.13725495
25-1月-2014 20:16:31.089,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1071,3.13725495
25-1月-2014 20:16:31.189,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1078.75,3.13725495
25-1月-2014 20:16:31.289,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1075.25,3.13725495
25-1月-2014 20:16:31.389,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1075.25,3.13725495
25-1月-2014 20:16:31.488,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1073.5,3.13725495
25-1月-2014 20:16:31.588,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1054.25,4.70588255
25-1月-2014 20:16:31.688,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1047.25,3.92156863
25-1月-2014 20:16:31.788,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1047.25,3.52941179
25-1月-2014 20:16:31.889,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1045.75,3.52941179
25-1月-2014 20:16:31.988,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1059.75,3.92156863
25-1月-2014 20:16:32.088,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1059.75,3.92156863
25-1月-2014 20:16:32.190,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1064.5,3.92156863
25-1月-2014 20:16:32.289,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1059.25,3.92156863
25-1月-2014 20:16:32.388,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1053.75,3.92156863
25-1月-2014 20:16:32.489,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1053.75,3.92156863
25-1月-2014 20:16:32.588,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1053.75,3.92156863
25-1月-2014 20:16:32.688,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1058.25,3.92156863
25-1月-2014 20:16:32.788,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1062.5,3.92156863
25-1月-2014 20:16:32.892,0.14982383,9.41166019,-0.19068487,-0.02128714,1,1062.5,3.92156863
25-1月-2014 20:16:32.989,0.14982383,9.41166019,-0.19068487,-0.02128714,1,1063.25,3.92156863
25-1月-2014 20:16:33.089,0.14982383,9.41166019,-0.19068487,-0.02128714,2,1063.25,3.92156863
25-1月-2014 20:16:33.188,0.14982383,9.41166019,-0.19068487,-0.02128714,2,1065.75,3.92156863
25-1月-2014 20:16:33.288,0.14982383,9.41166019,-0.19068487,-0.02128714,2,1074.75,3.92156863
25-1月-2014 20:16:33.397,0.14982383,9.41166019,-0.19068487,-0.02128714,2,1071.75,3.92156863
25-1月-2014 20:16:33.489,0.14982383,9.41166019,-0.19068487,-0.02128714,2,1071.75,3.92156863
25-1月-2014 20:16:33.593,0.14982383,9.41166019,-0.19068487,-0.02128714,3,1072.5,3.92156863
25-1月-2014 20:16:33.688,0.14982383,9.41166019,-0.19068487,-0.02128714,3,1071,3.92156863
25-1月-2014 20:16:33.794,0.14982383,9.41166019,-0.19068487,-0.02128714,3,1070.25,3.92156863
25-1月-2014 20:16:33.889,0.14982383,9.41166019,-0.19068487,-0.02128714,3,1070.25,3.92156863
25-1月-2014 20:16:33.989,0.14982383,9.41166019,-0.19068487,-0.02128714,3,1075.75,3.92156863
25-1月-2014 20:16:34.089,0.14982383,9.41166019,-0.19068487,-0.02128714,3,1067.75,3.92156863
25-1月-2014 20:16:34.189,0.14982383,9.41166019,-0.19068487,-0.02128714,3,1055.25,3.92156863
25-1月-2014 20:16:34.288,0.14982383,9.41166019,-0.19068487,-0.02128714,3,1053,3.92156863
25-1月-2014 20:16:34.394,0.14982383,9.41166019,-0.19068487,-0.02128714,3,1053,3.92156863
25-1月-2014 20:16:34.489,0.14982383,9.41166019,-0.19068487,-0.02128714,3,1062.25,3.92156863
25-1月-2014 20:16:34.588,0.14982383,9.41166019,-0.19068487,-0.02128714,3,1062.75,3.92156863
25-1月-2014 20:16:34.688,0.14982383,9.41166019,-0.19068487,-0.02128714,3,1062.75,3.92156863
25-1月-2014 20:16:34.788,0.14982383,9.41166019,-0.19068487,-0.02128714,4,1072.75,3.92156863
25-1月-2014 20:16:34.890,0.14982383,9.41166019,-0.19068487,-0.02128714,4,1077,3.92156863
25-1月-2014 20:16:34.988,0.14982383,9.41166019,-0.19068487,-0.02128714,4,1077.75,3.92156863
25-1月-2014 20:16:35.089,0.14982383,9.41166019,-0.19068487,-0.02128714,4,1077.75,3.92156863
25-1月-2014 20:16:35.190,0.14982383,9.41166019,-0.19068487,-0.02128714,4,1070,3.92156863
25-1月-2014 20:16:35.289,0.14982383,9.41166019,-0.19068487,-0.02128714,4,1074.25,3.92156863
25-1月-2014 20:16:35.388,0.14982383,9.41166019,-0.19068487,-0.02128714,4,1075.75,3.52941179
25-1月-2014 20:16:35.488,0.14982383,9.41166019,-0.19068487,-0.02128714,4,1075.75,3.92156863
25-1月-2014 20:16:35.590,0.14982383,9.41166019,-0.19068487,-0.02128714,5,1070.25,3.92156863
25-1月-2014 20:16:35.688,0.14982383,9.41166019,-0.19068487,-0.02128714,5,1068,3.92156863
25-1月-2014 20:16:35.788,0.14982383,9.41166019,-0.19068487,-0.02128714,5,1068,3.92156863
25-1月-2014 20:16:35.889,0.14982383,9.41166019,-0.19068487,-0.02128714,5,1067.25,3.52941179
25-1月-2014 20:16:35.988,0.14982383,9.41166019,-0.19068487,-0.02128714,5,1070.75,3.52941179
25-1月-2014 20:16:36.088,0.14982383,9.41166019,-0.19068487,-0.02128714,5,1073.5,3.92156863
25-1月-2014 20:16:36.187,0.14982383,9.41166019,-0.19068487,-0.02128714,5,1065.5,3.92156863
25-1月-2014 20:16:36.288,0.14982383,9.41166019,-0.19068487,-0.02128714,5,1065.5,3.52941179
25-1月-2014 20:16:36.388,0.14982383,9.41166019,-0.19068487,-0.02128714,5,1061,3.52941179
25-1月-2014 20:16:36.489,0.14982383,9.41166019,-0.19068487,-0.02128714,5,1062.75,3.52941179
25-1月-2014 20:16:36.589,0.14982383,9.41166019,-0.19068487,-0.02128714,5,1064.25,3.52941179
25-1月-2014 20:16:36.688,0.14982383,9.41166019,-0.19068487,-0.02128714,5,1064.25,3.92156863
25-1月-2014 20:16:36.789,0.14982383,9.41166019,-0.19068487,-0.02128714,5,1053.25,3.92156863
25-1月-2014 20:16:36.888,0.14982383,9.41166019,-0.19068487,-0.02128714,5,1055.5,3.92156863
25-1月-2014 20:16:36.988,0.14982383,9.41166019,-0.19068487,-0.02128714,5,1055.5,3.92156863
25-1月-2014 20:16:37.088,0.14982383,9.41166019,-0.19068487,-0.02128714,5,1056,3.92156863
25-1月-2014 20:16:37.188,0.14982383,9.41166019,-0.19068487,-0.02128714,5,1051.5,3.92156863
25-1月-2014 20:16:37.288,0.14982383,9.41166019,-0.19068487,-0.02128714,5,1051.5,3.52941179
25-1月-2014 20:16:37.389,0.14982383,9.41166019,-0.19068487,-0.02128714,5,1047.5,3.52941179
25-1月-2014 20:16:37.489,0.14982383,9.41166019,-0.19068487,-0.02128714,5,1051.5,3.52941179
25-1月-2014 20:16:37.588,0.14982383,9.41166019,-0.19068487,-0.02128714,5,1053.5,3.52941179
25-1月-2014 20:16:37.688,0.14982383,9.41166019,-0.19068487,-0.02128714,4,1053.5,3.52941179
25-1月-2014 20:16:37.788,0.14982383,9.41166019,-0.19068487,-0.02128714,4,1047.5,3.52941179
25-1月-2014 20:16:37.887,0.14982383,9.41166019,-0.19068487,-0.02128714,4,1051,3.52941179
25-1月-2014 20:16:37.990,0.14982383,9.41166019,-0.19068487,-0.02128714,4,1046.75,3.52941179
25-1月-2014 20:16:38.088,0.14982383,9.41166019,-0.19068487,-0.02128714,4,1046.75,3.52941179
25-1月-2014 20:16:38.188,0.14982383,9.41166019,-0.19068487,-0.02128714,4,1045.5,3.52941179
25-1月-2014 20:16:38.288,0.14982383,9.41166019,-0.19068487,-0.02128714,4,1054.25,3.52941179
25-1月-2014 20:16:38.390,0.14982383,9.41166019,-0.19068487,-0.02128714,3,1054.25,3.52941179
25-1月-2014 20:16:38.490,0.14982383,9.41166019,-0.19068487,-0.02128714,3,1041,3.52941179
25-1月-2014 20:16:38.588,0.14982383,9.41166019,-0.19068487,-0.02128714,3,1049.5,3.52941179
25-1月-2014 20:16:38.689,0.14982383,9.41166019,-0.19068487,-0.02128714,3,1052.25,3.52941179
25-1月-2014 20:16:38.789,0.14982383,9.41166019,-0.19068487,-0.02128714,2,1052.25,3.13725495
25-1月-2014 20:16:38.888,0.14982383,9.41166019,-0.19068487,-0.02128714,2,1049,3.13725495
25-1月-2014 20:16:38.988,0.14982383,9.41166019,-0.19068487,-0.02128714,2,1049.75,3.52941179
25-1月-2014 20:16:39.088,0.14982383,9.41166019,-0.19068487,-0.02128714,2,1049.75,3.52941179
25-1月-2014 20:16:39.189,0.14982383,9.41166019,-0.19068487,-0.02128714,1,1048.75,3.52941179
25-1月-2014 20:16:39.288,0.14982383,9.41166019,-0.19068487,-0.02128714,1,1051.5,3.52941179
25-1月-2014 20:16:39.388,0.14982383,9.41166019,-0.19068487,-0.02128714,1,1049.5,3.52941179
25-1月-2014 20:16:39.488,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1054.5,3.52941179
25-1月-2014 20:16:39.588,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1054.5,3.13725495
25-1月-2014 20:16:39.689,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1045.25,3.13725495
25-1月-2014 20:16:39.788,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1046.5,3.52941179
25-1月-2014 20:16:39.889,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1046.5,3.52941179
25-1月-2014 20:16:39.990,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1039.25,3.52941179
25-1月-2014 20:16:40.088,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1045.75,3.52941179
25-1月-2014 20:16:40.190,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1038.75,3.52941179
25-1月-2014 20:16:40.289,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1036.75,3.52941179
25-1月-2014 20:16:40.388,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1036.75,3.52941179
25-1月-2014 20:16:40.489,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1052.75,3.52941179
25-1月-2014 20:16:40.589,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1047.75,3.52941179
25-1月-2014 20:16:40.690,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1046.25,3.52941179
25-1月-2014 20:16:40.789,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1046.25,3.52941179
25-1月-2014 20:16:40.889,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1045,3.52941179
25-1月-2014 20:16:40.990,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1048,3.52941179
25-1月-2014 20:16:41.090,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1050.75,3.52941179
25-1月-2014 20:16:41.188,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1050.75,3.52941179
25-1月-2014 20:16:41.289,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1044.5,3.52941179
25-1月-2014 20:16:41.389,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1041.25,3.52941179
25-1月-2014 20:16:41.488,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1041.25,3.52941179
25-1月-2014 20:16:41.588,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1043.25,3.52941179
25-1月-2014 20:16:41.692,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1042,3.52941179
25-1月-2014 20:16:41.789,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1039.75,3.52941179
25-1月-2014 20:16:41.888,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1039.75,3.52941179
25-1月-2014 20:16:41.988,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1043.75,3.52941179
25-1月-2014 20:16:42.089,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1030.75,3.52941179
25-1月-2014 20:16:42.206,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1023.5,3.52941179
25-1月-2014 20:16:42.288,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1023.5,3.52941179
25-1月-2014 20:16:42.388,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1026.25,3.52941179
25-1月-2014 20:16:42.489,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1036.25,3.52941179
25-1月-2014 20:16:42.589,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1033,3.52941179
25-1月-2014 20:16:42.688,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1033,3.52941179
25-1月-2014 20:16:42.789,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1037.25,3.52941179
25-1月-2014 20:16:42.889,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1043.25,3.52941179
25-1月-2014 20:16:42.988,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1038.5,3.52941179
25-1月-2014 20:16:43.088,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1038.5,3.52941179
25-1月-2014 20:16:43.188,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1032,3.52941179
25-1月-2014 20:16:43.287,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1027.75,3.52941179
25-1月-2014 20:16:43.387,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1037.25,3.52941179
25-1月-2014 20:16:43.488,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1037.25,3.52941179
25-1月-2014 20:16:43.588,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1026.25,3.52941179
25-1月-2014 20:16:43.689,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1030.25,3.52941179
25-1月-2014 20:16:43.788,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1036.75,3.52941179
25-1月-2014 20:16:43.888,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1039.5,3.52941179
25-1月-2014 20:16:43.988,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1039.5,3.52941179
25-1月-2014 20:16:44.089,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1041.5,3.52941179
25-1月-2014 20:16:44.190,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1027.5,3.52941179
25-1月-2014 20:16:44.290,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1027.5,3.52941179
25-1月-2014 20:16:44.388,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1034.25,3.52941179
25-1月-2014 20:16:44.487,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1040.75,3.52941179
25-1月-2014 20:16:44.589,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1038,3.52941179
25-1月-2014 20:16:44.688,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1038,3.52941179
25-1月-2014 20:16:44.788,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1034.5,3.52941179
25-1月-2014 20:16:44.888,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1037.5,3.52941179
25-1月-2014 20:16:44.988,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1037.5,3.52941179
25-1月-2014 20:16:45.089,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1033.25,3.52941179
25-1月-2014 20:16:45.188,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1029.25,3.52941179
25-1月-2014 20:16:45.288,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1035.25,3.52941179
25-1月-2014 20:16:45.388,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1035.25,3.52941179
25-1月-2014 20:16:45.488,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1025.25,3.52941179
25-1月-2014 20:16:45.590,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1035.25,3.52941179
25-1月-2014 20:16:45.688,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1035.25,3.52941179
25-1月-2014 20:16:45.789,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1040.25,3.52941179
25-1月-2014 20:16:45.888,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1032.75,3.52941179
25-1月-2014 20:16:45.988,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1039.5,3.52941179
25-1月-2014 20:16:46.090,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1039,3.52941179
25-1月-2014 20:16:46.190,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1039,3.92156863
25-1月-2014 20:16:46.288,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1041.25,3.92156863
25-1月-2014 20:16:46.389,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1035.75,3.92156863
25-1月-2014 20:16:46.488,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1035.75,3.92156863
25-1月-2014 20:16:46.590,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1038.25,3.92156863
25-1月-2014 20:16:46.688,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1042.25,3.92156863
25-1月-2014 20:16:46.788,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1041.5,3.92156863
25-1月-2014 20:16:46.889,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1041.5,3.92156863
25-1月-2014 20:16:46.989,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1040,3.92156863
25-1月-2014 20:16:47.089,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1034,4.31372547
25-1月-2014 20:16:47.189,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1054.75,4.31372547
25-1月-2014 20:16:47.289,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1054.75,4.31372547
25-1月-2014 20:16:47.389,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1068.75,4.31372547
25-1月-2014 20:16:47.489,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1068.5,4.31372547
25-1月-2014 20:16:47.588,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1068.5,4.31372547
25-1月-2014 20:16:47.689,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1072.25,4.31372547
25-1月-2014 20:16:47.793,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1075.5,4.70588255
25-1月-2014 20:16:47.888,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1079.25,4.70588255
25-1月-2014 20:16:47.988,0.14982383,9.41166019,-0.19068487,-0.02128714,0,1079.25,4.70588255
25-1月-2014 20:16:48.089,0.14982383,9.41166019,-0.19068487,-0.02128714,1,1075,4.70588255
25-1月-2014 20:16:48.188,0.14982383,9.41166019,-0.19068487,-0.02128714,1,1077.5,4.70588255
25-1月-2014 20:16:48.290,0.14982383,9.41166019,-0.19068487,-0.02128714,1,1083.5,4.31372547
25-1月-2014 20:16:48.392,0.14982383,9.41166019,-0.19068487,-0.02128714,2,1083.5,4.31372547
25-1月-2014 20:16:48.489,0.14982383,9.41166019,-0.19068487,-0.02128714,2,1065,4.31372547
25-1月-2014 20:16:48.589,0.14982383,9.41166019,-0.19068487,-0.02128714,2,1069.75,4.31372547
25-1月-2014 20:16:48.688,0.14982383,9.41166019,-0.19068487,-0.02128714,2,1069.75,4.70588255
25-1月-2014 20:16:48.788,0.14982383,9.41166019,-0.19068487,-0.02128714,2,1081.75,4.70588255
25-1月-2014 20:16:48.890,0.14982383,9.41166019,-0.19068487,-0.02128714,2,1089,4.70588255
25-1月-2014 20:16:48.989,0.14982383,9.41166019,-0.19068487,-0.02128714,2,1096.75,4.70588255
25-1月-2014 20:16:49.091,0.14982383,9.41166019,-0.19068487,-0.02128714,2,1081.75,4.31372547
25-1月-2014 20:16:49.188,0.14982383,9.41166019,-0.19068487,-0.02128714,3,1081.75,4.31372547
25-1月-2014 20:16:49.289,0.14982383,9.41166019,-0.19068487,-0.02128714,3,1076.5,4.31372547
25-1月-2014 20:16:49.388,0.14982383,9.41166019,-0.19068487,-0.02128714,3,1071.75,4.31372547
25-1月-2014 20:16:49.489,0.14982383,9.41166019,-0.19068487,-0.02128714,3,1071.75,4.31372547
25-1月-2014 20:16:49.589,0.14982383,9.41166019,-0.19068487,-0.02128714,3,1064.75,4.31372547
25-1月-2014 20:16:49.689,0.14982383,9.41166019,-0.19068487,-0.02128714,3,1061.25,4.31372547
25-1月-2014 20:16:49.789,0.14982383,9.41166019,-0.19068487,-0.02128714,3,1061.25,4.31372547
25-1月-2014 20:16:49.889,0.14982383,9.41166019,-0.19068487,-0.02128714,4,1055,4.31372547
25-1月-2014 20:16:49.989,0.14982383,9.41166019,-0.19068487,-0.02128714,4,1064.25,4.31372547
25-1月-2014 20:16:50.088,0.14982383,9.41166019,-0.19068487,-0.02128714,4,1052.75,3.92156863
25-1月-2014 20:16:50.189,0.14982383,9.41166019,-0.19068487,-0.02128714,4,1052.75,3.92156863
25-1月-2014 20:16:50.290,0.14982383,9.41166019,-0.19068487,-0.02128714,4,1045.75,3.92156863
25-1月-2014 20:16:50.389,0.14982383,9.41166019,-0.19068487,-0.02128714,4,1055,3.92156863
25-1月-2014 20:16:50.494,0.14982383,9.41166019,-0.19068487,-0.02128714,4,1049.25,3.92156863
25-1月-2014 20:16:50.589,0.14982383,9.41166019,-0.19068487,-0.02128714,4,1049.25,3.92156863
25-1月-2014 20:16:50.689,0.14982383,9.41166019,-0.19068487,-0.02128714,4,1049.5,3.92156863
25-1月-2014 20:16:50.787,0.14982383,9.41166019,-0.19068487,-0.02128714,4,1051,3.92156863
25-1月-2014 20:16:50.891,0.14982383,9.41166019,-0.19068487,-0.02128714,5,1051,3.92156863
25-1月-2014 20:16:50.999,0.14982383,9.41166019,-0.19068487,-0.02128714,5,1043.5,3.92156863
25-1月-2014 20:16:51.091,0.14982383,9.41166019,-0.19068487,-0.02128714,5,1044.5,3.92156863
